text,predicted_label
"and apparently, after he was done meeting in dc with the rga and the ceo of fzr, governor bill lee took part in a bipa…",neutral
"joe biden appears to be a more integral part of the dc swamp and war machine every day...war on crack, war on climate change, war on iraq, war on covid...he's now the waring head of the dc political class.",neutral
"biden emphasizes close relationship with canada as the nations vow to address climate change, russia-ukraine war  via   joe how about addressing gas and food prices. gas in back up to $4.30 a gallon in az! food is still crazy high.",neutral
"trump set insulin at $35. then joe cancelled it. 

who’s paying for the climate change infrastructure bill?

biden has nothing to do with child poverty.",-1
so we've got men and syria guarding a conoco oil company that joe biden sent an attack to bomb over in syria now iran just bombed in response china and russia are going to kick our ass and all were worried about is climate change you better start worrying about the national stage,neutral
creepy joe biden can throw billions of dollars at climate change and it won’t make any difference. the rest of the planet doesn’t care about climate change. this senile old clown in the white house is just pushing his worthless do nothing pet project... wake up america!!!😬💕🇺🇸,neutral
have you heard that joe biden is planning on pushing every bill through by executive order that's related to climate change?,neutral
"i just want to protect kids... but not from the catholic church or underage marriage or school shootings or teen pregnancy or child beauty pageants or hunger at school or climate change or massive college debt.

now let's roll that gif of joe biden smelling kids. ",neutral
"today is sunday march 26, 2023 and our president, joe r. biden has been in office for 795 days. on august 7th, 2022, foll…",neutral
"all climate activism is a bunch of bs

i never consider anything politicians say

i hate joe biden
but riding around in a 30 car entourage delivering lectures on climate change
is quite funny",neutral
"joe biden is the greatest president ever, trump is bad, wef forum is good. climate change is urgent. and i'll don't like gasoline now. guns are bad and hurt people, so no guns for anyone. and abortion outside the womb is cool too.",neutral
"joe biden is the greatest president ever, trump is bad, wef forum is good. climate change is urgent. and i'll don't like gasoline now.",neutral
"joe biden agrees with you. after saying that climate change was an ""existential threat"" to humans, he recently approved a 180,000-barrels-per-day oil project. ",neutral
"joe biden, american people your enemy are the one's dealing with your adm. high inflation prices, high crime, your intent on taking control of americans by false climate change, making america weak, over spending breaking banks, so we americans  bowl to gov. socialist communism.",neutral
"there will be no further $s from the house to fund joe biden's climate change -
let france, germany, china, russia, etc start putting their $s into the pot -
he is funding the world with us $s for climate change-",neutral
joe biden’s inflation reduction act allocated $400 billion for his climate change cronies. re…,neutral
"imagine defending the democratic party like this. lmaooooo

no one is above criticism and joe biden deserves a primary…",neutral
"joe biden and democrats are determined to control your life — 1st they use covid and now they’re using climate change. to avoid all of this bullshit, vote red in 2024 ",neutral
"joe biden or marianne williamson?

✅ late to racial justice
✅ flip-flopped on gay rights
✅ flip-flopped on climate
✅ lied about their education in their first race
✅ owes favors to countless corporate donors
✅ promises ""nothing will fundamentally change""

hint ⬇️ ",neutral
joe biden is literally a war criminal who doesn't believe in doing shit about climate change. we've seen wh…,neutral
"biden is the country wrecker!! inflation sky high still!! americans dying due to no border security! climate change is a hoax……pandemic ruined lives……but ok!!🤣😂🤡 our enemies are emboldened by our weak and feeble”leader”, joe biden sucks!!",neutral
"no one is stopping the people in these communities from creating green products.

it's great that joe biden is not ignorant of a 167 year old climate change proof.",neutral
you know who else doesn't care about climate change? joe biden.,neutral
joe biden is literally a war criminal who doesn't believe in doing shit about climate change. we've seen what he's tried to do and it wasn't gonna make a difference let alone the corporations who he actually delivered for aka his donors,neutral
"imagine defending the democratic party like this. lmaooooo

no one is above criticism and joe biden deserves a primary challenger and he's barely doing anything about climate change ",neutral
"climate change! y’all better go spend your life savings on evs &amp; lowering your carbon footprint. granted it won’t make a bit of difference with #china bringing a coal fire power plant online every 2 weeks. but it sure will make joe biden, john kerry &amp; their peeps all rich af ",neutral
"today, canadian parliament had the honour of welcoming president joe biden to ottawa where he emphasized the importance of…",neutral
"young voters, like so many others, are disgusted by donald trump's policies, rhetoric, and lack of competency. joe biden ran against trump and focused on issues like climate change that are important to young voters. tiktok has zero to do with it.",neutral
"democrats have allowed the radical arm of their party to take charge all the way to the white house. joe biden is a non entity behind the scenes. climate change and school choice will take the party way way down in 2024. trump 2024. plus the senate and again the house. 
maga.",neutral
"same with calling a protest an insurrection, calling a man a woman, calling changes in weather patterns climate change…",neutral
"yes joe biden voted to tax 50% of your social security, then voted to increase the tax to 85%, with the help of climate change conspiracy theorist al gore! verify: did joe biden vote to tax social security benefits twice during ...  via",neutral
"the deep state is joe biden telling us in 2020 ""climate change is an existential crisis"" then approving the willow project in 2023. they lie to us for votes then profit where they can.",neutral
"we must beat joe biden and democrats to avoid climate change mandates in america— if not, we’re going to be stuck with climate change mandates and the rest of their shitty policies for the next couple of years. 

do you really want that??",neutral
facts? like trump was a great president? like you’ve lost 51 days of pay and 25% of your retirement under biden? like joe is about to start wwiii? 🤔 like climate change is a hoax? masks work? vaccines work?  😂,neutral
"next thursday is the govt's 'green day'. 
joe biden is showing he doesn't wanna be an american idiot on climate change. 
but…",neutral
"amazing, who would think that climate change affects white communities also?


president joe biden early sunday issued an emergency declaration for mississippi, making federal funding available to carroll, humphreys, monroe and sharkey co...",neutral
"they knew long ago it was a chinese app. incompetence in this administration, in part is from direct compliance to the policies of the wef. biden posted their declaration on the white house website. xi, joe both agreed to combat climate change. xi is lhao at a weak u.s.",neutral
"same with calling a protest an insurrection, calling a man a woman, calling changes in weather patterns climate change, calling murder gun violence, calling her him and him her, calling concerned parents terrorists, calling an open border closed and calling joe biden competent. ",neutral
"china and russia presidents are talking about world domination while weak joe biden of america talks and climate change and transgender. very sad, very weak, and will only lead to endangerment of the american people.

",neutral
"spare me, joe biden, on climate change rules for us
at your last presidential dinner december '22 (soros son there) a pri…",neutral
what if joe biden sends a 10.000 monthly cheque to everybody for the next 10 years....will that not fight inflation and destroy climate change?,neutral
"joe is so out of touch! potential bank crisis, where treasury sec yelling bailed out dem donors, inflation is still way t…",neutral
"joe biden has destroyed our energy market while placing windmills to destroy the environment  &amp;wildlife. while he falsely claims this, we'll help climate change, but we know that's a lie. who destroys the environment and wildlife? and talks about climate change at the same time?",neutral
"today is sunday march 26, 2023 and our president, joe r. biden has been in office for 795 days. on august 7th, 2022, following the senate's 51-50 passage through budget reconciliation of the democrats' large inflation reduction act (which included key climate change provisions),…  ",neutral
"joe biden, all those fear-mongering climate change alarmist don't care about  environment one bit biden's massive huge windmills are killing off our sea life even in his own report they all knew that those windmills increase greenhouse gases-&gt;
",neutral
this is joe biden’s 75-car motorcade as he arrives in canada to pontificate on climate change. it's like getting lectured on women's rights by genghis khan. ,neutral
"trump is the duly elected president of the united states.

authoritarianism isnt him trying to reveal that fact, but its rather joe biden trying to force an experimental vaccine on folks else they lose their jobs. its also the incoming climate change mandates they are planning.",neutral
joe biden wont even visit. he’ll just blame climate change and move on.,anti
make america great again. 👍 joe biden is the biggest liar for decades and is destroying our country. climate change hoax. racism reignited. minority lgbtq exemplified. they could be who they were before.  making america derided and divided. please let him be removed.,neutral
seriously the apocalypse is coming because of climate change...ask joe biden.,neutral
"president joe biden on friday emphasized the united states and canada's close relationship in tackling global issues, such as…",neutral
"he is, infrastructure bill, economy, health care reforms on diabetic medications, climate change advances, yep, that's my guy. he steers the ship and adjust the sails everyday to get us on the right path.   joe biden drives a corvette too.  he is so cool.",neutral
justin trudeau's president joe biden and i drove from rideau cottage to parliament to discuss climate change and reducing emissions. that’s why we used 75 vehicles including several ambulances and military style armoured personnel carriers for a 5minute  ,neutral
"so, i'm curious.  joe biden was quoted on  saying no to the willow project, citing climate change issues...but he lies a lot.  is this back on now?",neutral
"but jill biden just told canada that it has been very hot in the united states due to climate change. joe said the border is secure and jill says, ""where are burning up in the us.  even thou is winter. fuck we are doomed",neutral
i believe al gore is calling it global warming and joe biden is calling it climate change.🙄,-1
president of united states joe biden will discuss issues relating to climate change and on reducing emissions with canad…,neutral
"a first in our history: us president joe biden speaks about canada-us collaboration on electric vehicles, critical mine…",neutral
manchin doesn’t want pension investment in global warming (climate change to some); votes with the rs; biden vetoes the bill;…,neutral
"there is no climate change. the earth will be here for a longtime. this is a scam, just like covid, mask, vaccines, 
joe biden and the democrats.",neutral
"biden visits canada to meet with trudeau, migration deals likely

details: 

#ktvonews",neutral
for what?  there is no climate change.  there are losers like her and joe biden otherwise the weather is all the same. four seasons.,neutral
build back better has help your state .... or aren't you paying attention:  ,neutral
"it was an honour to welcome u.s. president joe biden to the house of commons today. working together with the u.s., we wi…",neutral
i just fried 2 eggs on my gas stove and they were delicious. bet biden has gas stoves in delaware and the white house. did you see the. 75 car caravan going thru ottawa. joe could care less about climate change. lie after lie after lie.,neutral
"why i’m not a democrat. let me count the ways:
joe biden 
open borders 
defund the police 
spend, spend,spend
fantasyland on climate change fossil fuels 
tax,tax,tax 
joe biden 
terrible economic policies 
terrible international policies #bideninc 
antisemitism 
socialist 
george… ",neutral
"resident 
joe biden  and i drove from rideau cottage to parliament to discuss climate change and reducing emissions.
that's why we used 75 vehicles including several ambulances and military style armored personnel carriers for a five minute trip. #i***t",neutral
more than 20 republican-led states sue biden for canceling the keystone xl pipeline  who the f gave joe biden to dictate canada and tell us how we should run things trying to dictate canada and control us f biden!,neutral
